,poi_id,poi_name,visit_count,hcode,hname1,hname2,hname3,cate_id,fullpath,catename,catetype,apicatename,adultflag,landmarkyn,name1,name2,name3,name4,name5,time_list,scores,reviews,categories,coord
1987,1562368555,모던샤브하우스,182,1156054000,서울특별시,영등포구,여의동,630.0,음식점>샤브샤브,샤브샤브,C,음식점,N,N,음식점,샤브샤브,,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""11:30 ~ 22:00"",""dayOfWeek"":""매일"",""timeEtc"":null}]}]","[5, 5, 5, 5, 5, 5, 3, 4, 3, 5, 5, 4, 5, 1, 5, 5]","맛있고 분위기 좋고 친절함. 거기다 무한리필이여서 충분히 돈값함. 또 가고싶네,꽤 훌륭,돈 값하는 샤브샤브집. 누가 물 빠진 고기를 그 돈 내고 먹느냐고 했던 게 누구더라.. 나구나. 멍청이,최애 맛집! 시설도 너무 좋고 다른 지점보다 후식(?) 요리도 잘 해주셔서 좋아용💚,비싸지만 맛있었어요,진심 세상에서 먹엇던 프리미엄 머시기중에 젤 맛있고가격을 나중에 알았는데... 납득이 되네요...추천,,,맛도 있고 분위기도 좋아 모던샤브하우스 다른 지점은 많이 방문했고 여의도 지점은 이번에 처음 방문해봄. 여의도 지점 역시 맛있고 분위기도 좋았지만 전화 받으시는 직원분이 불친절해서 가기 전부터 기분이 좋지는 않았음. 직원분의 불친절함 빼고는 다 만족!,비싼 감으로 왔지만 만족하는 구성 고기 무한리필 굿굿,맛, 분위기, 서비스 뭐 하나 빠지지 않는 곳입니다. 평생 가본 샤브샤브 레스토랑 중 최고라고 단언합니다. 가격이 다소 비싸다고 느껴질 수 있지만 돈이 전혀 아깝지 않은 곳이에요.,친절하고 맛있음프라이빗한 분위기가 좋았음,부채살 특히 부드럽고 맛있음. 버섯육수라 리조또먹었는데 트러플향 은근하게 나서 좋았음. 마지막 딸기아이스크림 입가심 최고!기름걷어주신다고 하는데 자꾸 국물걷어내시고 그리고 다시 국물리필반복해서 너무웃겼음.,음식은 맛있는데 매니저가 불친절하네요,#모던샤브하우스 #모던샤브하우스여의도점 프리미어급 샤브샤브 전문점. 깔끔한 시설과 인테리어는 물론, 호텔급 직원 서비스를 접할 수 있음. 소고기와 돼지고기가 무제한으로 제공되는데 고기의 질도 꽤나 좋은 편. 야채도 무제한 제공 및 신선도도 좋음. 식사후 즐길 수 있는 틀러플오일이 들어간 죽도 꽤나 맛이 좋음. 하지만 역시나 가성비는 나쁜편. 최저 일인에 58,000원을 내고 샤브샤브를 즐기기엔 좀 거부감이 있음. 중요한 기념일때 한번 가보기 좋은 곳.,여의도점 오픈한지 얼마되지 않았음에도 만석. 샤브샤브치고 조금 비싼 것이 아닌가 생각하며 크게 기대없이 방문하였는데 매우 만족. 맛도 괜찮고 인테리어, 직원 친절도, 운영 시스템 등 전반적으로 만족스러웠음. 단점이라면 테이블 배치가 너무 다닥다닥 붙어있는 느낌이라는 점과 룸 이용시 별도 비용 발생한다는 점.그래도 매우 만족스러웠고 재방문 의사 있음.참고로 주차는 주말 기준 지하주차장 매우 널널하며 주차요금은 2시간까지만 지원되어 주차비 2천원 추가 지출함.","['음식점', '샤브샤브']","['37.5197450228958', '126.928065107001']"
1988,34581530,봄담아,152,1150061100,서울특별시,강서구,발산1동,630.0,음식점>샤브샤브,샤브샤브,C,음식점,N,N,음식점,샤브샤브,,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""11:00 ~ 22:00"",""dayOfWeek"":""매일"",""timeEtc"":null}]}]","[1, 5, 5, 4, 4, 5, 5, 5, 4, 4, 4, 5, 1, 5, 1, 1, 5, 5, 5, 5]","점심과 저녁가격이  3000원 씩  차이가 나는데  나오는 재료가  똑같네요.  서빙하는 분도  다르지 않다고 하더라고요.  점심때 보다 저녁은 손님도  없는데  무슨 베짱으로 가격을 3000원이나  올려받는지   앞날이 그리 밝지 않아 보이네요.,,너무 맛있어요,맛은 진짜 좋아요 고기 질도 좋고 야채도 신선하고 육수 종류나 소스도 다양하고 만족스럽고 한데 몇번이나 갈 때마다 직원분들이 안쓰러울 정도로 너무 지쳐보여요 ㅠㅠ 경험상 그런건 보통 사장님이 너무 잡으실 경우인데... 그거 빼곤 넓고 쾌적하고 다 좋습니다,샤브샤브 먹기에 정말 좋아요,야채나 당면, 떡, 버섯, 햄, 면 등등 무한리필로 먹을 수 있는 신선한 재료가 엄청 다양해서 고기 추가 안해도 배부르게 먹을 수 있어요 ! 갈때마다 배터지게 먹고 나옵니닷 ,,, 소스 재료도 다양해서 원하는대로 조합해서 먹을 수 있고 볶음밥 재료도 있어서 밥도 볶아 먹을 수 있어요다 먹고 후식으로 아이스크림까지 먹으면 걍 최고 되십니다 ,,,,,가격대비 야채 종류도 많고 신선해서 아주 만족합니다,진짜 맛있음 가성비 갑. 야채 종류 짱 많다,점심 13,900 가격오름~  다양한 샤브샤브 아이스크림에 커피까지,,야채랑 소스 종류가 많고 육수 1인으로 고르는것도 그렇고 푸짐해서 좋았어요.,강서구 최고의 맛집!!입니다.,여기 친구 면접 보러 갔는데 주휴수당 없다고함 ㅋㅋㅋ  왜 그러냐고 하니 중간중간 쉬고 담배타임을 주휴수당으로 대체 한다는 말도안되는 소리함근데 가격은 저렴하게 받음. 즉 알바생들 인건비 아껴서 가격 경쟁력 우위에 있는거 그래서 그런지 알바공고 상시 올라옴,지인들 추천으로 갔는데 인터리어 완전 이쁘더라! ㅎ 야채도 싱싱하고 양도 많고 직원들도 친절해서 좋았습니다! 다음에 가족들이랑 같이 와야겟어용 잘먹고 갑니당,slh님 리뷰 너무 공감 한때 밥 먹으러 잠깐 갔었는데 예쁘게 생긴 남자 알바생분 보고 여긴 자주 와야겠다 맘 먹고 있던 도 중에 처음 알바한게 티가 났는데도 불구하고 직원이면 처음 알바한것도 알텐데 실수 한번 했다고 소리지르며 물건 던지는 소리가 밥먹는 도중에도 들렸음 심지어 별 같지도 않은 이상하고 세세한것들로 짜증을 팍팍내고 심지어 여긴 아니다 싶어서 한번 귀 기울여서 알바랑 위에 일 하는 사람 말좀 들어봐야 겠다 싶어서 귀 기울이는데 지들끼리 가르쳐주는 방법 자체가 다른데 그걸 통일화 시키지 않고 알바생에게 알려줌 알바하는 입장으로썬 방황하는게 당연 근데 짜증부터 냄 여긴 별점 좋은게 신기함 그 예쁘게 생긴 남자 알바생이 그래도 똑부러진게 좋았음 여 알바생인지 직원인지 남 알바생 가르쳐주던 여자가 "" 너 너무 힘들어서 그만두는거 아니야 ? "" 이랬더니 개 각잡고 "" 아 때려칠까 생각중이요 "" 이랬다가 갑자기 웃고서는 "" 장난 장난 조크 ~ 저거 치우러 갈게요 "" 이럼 그거 보고서 얼마나 통쾌하던지 ㅋㅋ 예쁘게 생긴 남자 알바생 얼른 여기 나와요 ㅋㅋ,2주쓰고 해고하고 잘모르는 사회초년생 사직서 숨기고 싸인시키게하는 가게손님이 있어도 직원에게 소리질러가면서 손님 밥 목구멍 탁 막히게 하는 가게업장에 관련되지않은 외부인인 사장 부인이 와서 직원한테 갑질하고 비꼬는 가게팔 안으로 굽는다고 정치질하는 가게군대놀이 하는 가게알바를 계속 구인하는데는 이유가 다 있죠?ㅎ공익목적으로 주변에 잘 알려드리겠습니다~아 그리고 일한지 얼마 되지도 않았는데 뭘 모르는거 있으면 차라리 알려주려는 노력이라도 하세요 ㅎ 신경질내지말고 ㅎㅎ 인성중요하지않습니까? 요즘 시대에 ㅎㅎ 구한말도 아니고 그쵸?영업제한 풀려서 일자리 많아질텐데 누가 그 가게 알바를 합니까? ㅋㅋ 그 윗사람들이나 일이나 제대로하세요~ 요식업운영해온사람으로써 그 가게 오래 못갈거같습니다~,요시국에 잘 어울리는 1인샤브 하지만 요시국이 아니어도 이게 맞긴 해수많은 소스 수많은 토핑높은 천장 어울리는 벽지색상,제가 먹어본 샤브샤브 집 중에 제일 맛있었습니다 !마곡 갈 일 딱히 없는데 여기 오려고 종종 갈 것 같네요 ㅎ,가격대비 괜찮아요, 깨끗해고 분위기도 좋아요. 음식도 맛있어요.,하..진짜 사랑에빠졌습니다 최고예요","['음식점', '샤브샤브']","['37.5589142606317', '126.824815439337']"
1992,1768952564,샤브20,133,1150060300,서울특별시,강서구,가양1동,630.0,음식점>샤브샤브,샤브샤브,C,음식점,N,N,음식점,샤브샤브,,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""11:00 ~ 22:00"",""dayOfWeek"":""매일"",""timeEtc"":null},{""timeName"":""휴게시간"",""timeSE"":""15:00 ~ 17:00"",""dayOfWeek"":""매일"",""timeEtc"":null}]}]","[5, 4, 5, 4, 4, 5, 2, 3, 5, 5, 5, 5, 5, 5]","가격대비 맛과 시설이 좋습니다.,가성비가 상당히 괜찮습니다. 무한리필 치고 고기 퀄리티도 나쁘지 않고 무엇보다 음식이 다양해서 좋음. 샤브샤브, 월남쌈, 죽, 닭강정까지 진짜 배고플때 와서 먹으면 좋을것같다.,,사람이 항상 많고 붐비는데 가성비가 좋아서 안듯합니다샤브샤브 특성상 맛없기 힘들고 서브메뉴 닭강정이 괜찮네요,,점심으로 먹었는데 8접시 먹음 존맛탱고기 질이 아주 조와요 굿~~~~!,좀 짬있어보이는 아주머니 직원 엄청 불친절했어요. 뭘 물어봐도 퉁명스럽게 대답하고 비아냥 거리면서 말하고요.,음식은 맛있고 좋아요그런데 저희가 2시쯤 넘어갔으면3시에 브레이크 타임있다고설명을 해줬으면 좋은데먹다말고 쫓겨나오듯 나왔네요아니면 5분전이라도 넌지시 말해줬음되는데 먹고있는데 쉬는시간이라고빨리 가라는듯 옷입으며 말하는아줌마 때문에 식상했네요 손님을 그런식으로대해야 하는건지 생각좀 하시길!!!,무한리필인데 소고기 질이 진짜 좋음 닭강정도 존맛탱이고 육수도 맛있고 월남쌈이랑 죽에 야채도 풍족하게 있음 저녁에 만석이던데 이해가 감,항상 사람이 많은데도 직원들이 친절한편. 샤브샤브도 맛있고 월남쌈도 먹을 수 있어서 좋음. 음료 디스펜서에 펩시제로가 있어서 너무 좋았고 아이스크림도 다른 뷔페보다 맛있었음. 후식 커피는 테이크아웃잔으로 가져갈 수 있음.,넘넘 좋았습니다^^  왔다갔다하는 사람들이 너무 많아서 살짝 정신 없는 것이 좀 아쉽기는 했지만ㅠ 그거 말고는 음식도 싱싱하고 맛있고 덕분에 가족들과 좋은 시간 보냈어요~~ 아이스크림도 있고 커피도 있어서 더 좋았어요! 추천합니다!,샤브샤브 역대급,다~~~ 좋은데 중국말투쓰는 여자 직원분이 참 불친절해요..고기 질 너무 좋고 음식 맛있고 신선하고 참 좋은데,고기 질도 좋고, 야채도 신선하고 넘 맛있어요. 자주 갈 것 같아요~^^","['음식점', '샤브샤브']","['37.55911304201471', '126.8365153956752']"
1993,344121442,소담촌,3,1130554500,서울특별시,강북구,송중동,630.0,음식점>샤브샤브,샤브샤브,C,음식점,N,N,음식점,샤브샤브,,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""11:00 ~ 22:00"",""dayOfWeek"":""매일"",""timeEtc"":null},{""timeName"":""휴게시간"",""timeSE"":""16:00 ~ 17:00"",""dayOfWeek"":""매일"",""timeEtc"":null}]}]","[4, 3, 3, 5, 5, 1, 5, 4, 1, 5, 4, 1, 5, 4, 1, 5, 5]","사람 많아서 웨이팅 걸리는 곳!복잡하긴 하지만 그만큼 가성비 좋은 곳이에요~,가성비 좋은데주차공간이 아쉽네요,,,동네서 자주자주 찾는곳 사장님 친절하시고깔꼼진곳,싸가지없는 사장 ㅅㄲ 결제했더니 카드를 툭 던지는 곳 다신 안 간다 퉤퉤 다른곳에도 리뷰 남기고 본사에 클레임 넣을게요^^,평일런치는 가격이 좋아 먹을만 해요 :),,,맛은 평범한데 자리가 좋은곳이라 그런지 사람 정말 많아요! 직원분들이 친절해서 좋았어요~다만 조용히 대화하며 먹을 수 있는 분위기는아니예요🤔예약좌석은 좀 조용할 것 같긴 해두요 ^^,체인점이라 방문해봤는데 괜찮네요~ 생각했던 맛 그대로임,여기 예전에 먹다가 국물에서 애벌레가 나왔는데 사과 한마디 없었던 곳이에요. 애벌레 나와서 입맛 뚝 떨어져가지고 저는 한입도 안먹고 같이 간 친구만 애벌레 안들어간 국물이라 먹고 계산하는데 사과도 환불해드리겠단 말도 없었어요. 애벌레 나와서 한 입도 안먹었다고 도저히 돈 못내겠다고 하니 “아 돈 못내시겠다고요?”하면서 굉장히 기분 나쁜 표정으로 이야기한 남 사장님ㅡㅡ 그뒤로 주변 지인들한테 절대 가지말라고 하고 있어요. 진짜 제가 식당 가서 음식 먹어본 경험중에 최악이었어요,짱짱bbb 제가 고알못이라 그런지 와규랑 샤브고기의 차이점을 모르겠달까..? 다음에는 그냥 샤브고기 먹을 것 같아요 체고,직원분이 손님에게 관심 없지만 나름 친절합니다야채 수혈하러 가는 곳좋아요,퉁명스러워요,가격도 싸고 다양한 재료를 먹을 수 있어서 좋았어요! 매운육수 마싯어용,사장님 너무 친절하시고 서비스도 굿굿입니다 ㅎㅎ","['음식점', '샤브샤브']","['37.60951839724314', '127.03062874674312']"
1996,432588695,모던,124,1171071000,서울특별시,송파구,잠실6동,630.0,음식점>샤브샤브,샤브샤브,C,음식점,N,N,음식점,샤브샤브,,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""11:30 ~ 22:00"",""dayOfWeek"":""매일"",""timeEtc"":null}]}]","[2, 5, 5, 2, 1, 4, 5, 2, 4, 5, 4, 4, 5, 5, 4, 4]",",너무 맛있지만 가격이 약간 부담...그래도 종종 갑니당,,다른 육수는 어떤지 모르겠으나 버섯 육수에 고기는 너무 느끼했어요. 계속 기름이 나와서 걷어내긴 했는데 느끼함은 어쩔 수가 없더군요. 트러플리조또 맛은 있었으나 느끼해서 더 먹을 수가 없었습니다.,4.28일 저녁..아내와 큰 기대로 갔다 1인당 5.8만원 둘이 11.6천원. 최악이었다..소고기는 얇아터졌고 야채는 최고 싼것만 있었다. 밥먹는데 직원의 실수로 치우던 유리그릇 떨어뜨려 폭발하는소리에 놀랬다. 억지로 배는불렀지만 마지막 코스 볶음밥.. 느끼한 것들을 많이 넣을때부터 칼로리 높겠다고 한숫갈만 먹을려고 입에넣었는데 완전 생쌀.. 아! 돈아까와. 직원불러 이야기하니 새로 밥해주겠다고.. 됬다고하고 그냥나왔다 한달이 되가는데 아직 아내와 돈아깝다고 이야기한다. 5.8만이 아니라 2.2만정도면 봐주겠다.. 정말 볼로그보고 가면 안된다는걸 다시 느낀다.. 돈 아까와..  너들 이러면 안되..  도대체 그렇게 비싸게 받고..  가성비 최악이다. 볶음밥은 완전 생쌀..  아무리 미리 해놓고 얼린거 가져와도 그렇지. 100%생쌀로 만들어? 장사 그러면 안되...,매번 갈때마다 만족하는 곳 가격이 샤브샤브 치고는 비싸지만 맛과 서비스가 좋은편,소식하는 사람이 가면 가성비 떨어짐 그러나 샤브샤브를 다 먹고 육수에 맞춰서 할 수 있는 식사와 후식 아이스크림같은 서비스, 분위기, 매번 갈때마다 어떤 육수를 먹을지 선택하는 재미 등 때문에 계속 가고싶은 곳임 가족, 친구, 연인 누구와 와도 괜찮은 곳,기본적인 메뉴 안내도 없고 조명은 어둡고... 특별히 엄청 맛있지도 않고.. 가격대비 별로입니다,소피텔 2층/버섯 육수/트러플 리조또 요청하면 만들어주심.,고기도 괜찮고 야채가 신선해서 좋아요특히 마지막에 트러플 리조또 진짜 맛있어요😋가격대는 있지만 또 방문하고 싶은 곳이에요,광화문점만 가보고 잠실은 첫 방문이었는데테이블 간격이 너무 좁고 좀 시장통 분위기에요(주말 방문)그래도 맛은 역시 좋아요!,음식 깔끔하고 퀄리티 좋고, 신선함평일 낮에 가니 여자가 엄청 많았음맛나게 먹고 나왔고뷰가 좋아 벚꽃 필때 오면 최적일 듯 직원이 많은듯 적어서 부르기 힘듦 ㅠㅠ친절한듯 안 친절한듯 애매함,<모던샤브하우스 잠실점>1인당 최소 5만원에서 11만원까지하는고가의 샤브샤브, 하지만 돈이 아깝지않은고퀄리티의 식사. 매우 만족스럽습니다.,맛 나고 분위기 좋습니다^^가족모임 했는데 기분좋게 식사했습니다.,고급진 하이디라오 느낌이에요특이하게 육수별로 식사가 달라요토마토 육수 먹었는데 하이디라오 홍탕 같았어요조금 비싸지만.. 뷰도 좋고 맛있게 잘 먹었어요,가격대가 비싸긴 하지만,깔끔한 분위기와, 신선한 재료나쁘지않은 고기가 무한으로 제공되며육수에따라 달라지는 식사메뉴가식사후 충분히 만족감을 준다.","['음식점', '샤브샤브']","['37.51656747356542', '127.10417854798449']"
1997,1803090740,온천집,110,1111061500,서울특별시,종로구,종로1.2.3.4가동,630.0,음식점>샤브샤브,샤브샤브,C,음식점,N,N,음식점,샤브샤브,,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""11:30 ~ 21:30"",""dayOfWeek"":""매일"",""timeEtc"":null},{""timeName"":""휴게시간"",""timeSE"":""15:00 ~ 17:00"",""dayOfWeek"":""월~금"",""timeEtc"":null}]}]","[5, 4, 3, 5, 5, 5, 5, 3, 4, 5, 5, 5, 1, 4, 1, 5]","깔끔한 샤브샤브에 기분 좋은 분위기!,,너무 더웠습니다. 에어컨이 고장났다는데 선풍기든 뭐든 대체할 수 있었어야 싶고요. 직원들은 친절하셨으나 너무 더워서 음식을 맛있게 먹을 수 있는 상황이 아니었습니다. 샤브샤브 3단도 충분히 양 많아요.일반과 차돌박이가 있는데 차돌박이는 먹다보면 상당히 기름진 편이예요. 두명이서 방문한다면 1인 샤브와 스테이크덮밥 이렇게 주문하면 좋을 거 같아요. 개인적으로 굳이 재방문할 거 같진 않습니다.,된장 샤브 맛있어요! 3단도 충분히 배부릅니다,,기념일에 가기 좋아요^_^ 분위기도 좋고음식도 양도 많고 좋아요예약하고 가야 하는 곳이에요,맛있고 이쁘고 가격도 별로 안비싸구 좋다,맛은 있지만 핵존맛은 아니였어.. 역시 기대치가 높으면 그걸 이기긴 어렵지,분위기 좋은 스끼야끼 집 가격대비 양이 많진 않고,소스랑 이것저것 셀프인 점이 아쉬워요그래도 친구랑 놀러오긴 좋아요 ㅎㅎ,첫 방문은 아니고 6번째 방문이에요ㅎㅎ 이번엔 혼자 갔어요.여기 혼밥 분위기도 좋고 직원분들도 혼밥이라고 눈치 안 주고 저번보다 더 친절하게 해주셔서 기분 좋게 먹고 나왔네요!고기 추가.. 하면 양 많아요. 안 하고 먹어야 칼국수까지 즐길 수 있음ㅋㅋㅋㅋ저번에는 웨이팅이 부담스러워서 잘 안 가게 됐는데 이번에 테이블링 도입하고 개꿀됨다들 원격 줄 서기 + 테이블링 예약(널널함) ㄱㄱㄱ,수요일 오후 1시 반에 도착. 위이팅이 길줄 알았는데 금방 들어갔네요. 미국에서 식구들과 온 것이라 뭐가 뭔지 엇갈렸는데 안내 하시는 직원 분이 너무 친절하게 알려 주셨어요. 우리 식구 첫입 먹자마자 감탄사 밖에 안 나왔네요. 생각지도 안게 비가 오는 바람에 분이기도 너무 좋았어요. 브레이크 타임 다 되어서 식사가 끝나고 문 밖에서 비를 피하고 있는데 직원분이 친절하게 우산을 빌려 주셔서 편의점에서 우산도 사고.  너무 좋은 경험이었어요. 미국으로 다시 돌아 가기 전에 다시 또 가고 싶은 식당 중에 한군데에요,된장샤브가 더맛있을것 같아요. 북해도 샤브는 커리맛이 강함. 수비드는 잡내나서 비추에요. 직원들이 엄~~~청 친절했어요 서비스때문에 또 가고싶은 가게에요,흠...구성 맛 양 다 별로였어요ㅠ웨이팅도 길고 가격도 가격이고나오는 음식도 맛도..영...,분위기 미쳐요ㅠ 한옥좋아하는데 좌식으로 앉아서 야외에서 먹는 느낌이라 너무좋더라구요ㅠㅠㅠ근데 자리는 너무좁아요진짜 테이블에 올릴수가 없어서 육전을 그냥 샤브도시락 위에 툭 얹어주시더라구요…. 타이밍 잘맞아서 대기없이 들어갔네용 둘이가서 샤브샤브만 먹지말고 3-4단 고기추가 1개에 육전꼭드세요!!! 미나리육전 존맛탱..,가성비 제로. 맛보다는 sns상 소문으로 찾는집.기본적으로 소주는 팔지도 않고 1인1메뉴 강제.증류식 소주라고 18,000원 받음,익선동 핫플레이스 중 핫플레이스예요.분위기가 좋지만 늘 대기가 많아서 오픈런필수예요.","['음식점', '샤브샤브']","['37.57409672360898', '126.98978921791809']"
1998,2102366381,겟 올라잇,50,1168056500,서울특별시,강남구,청담동,83.0,음식점>술집,술집,C,음식점,N,N,음식점,술집,,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""20:00 ~ 02:00"",""dayOfWeek"":""화~토"",""timeEtc"":null}]}]","[2, 5, 5, 5, 5, 3, 1, 5, 1, 5, 4, 4, 2, 5, 4]","6인 VP 자리 100만원 채우고, 칵테일 몇잔에 140 나옴..무드 겟올라잇이 훨 나음!!,음악좋음,,분위기 좋아요 ~ 안주로 과자 서지스도 줘요,#먹자마자 #서울 일기 (방문 2022년.가을)결론: 엄지척• 사운드랑 공연 퀄리티 좋음• 실내 분위기 넘 좋음• 직원분들 친절하심• VIP석이라 위스키 바틀 시킴• 치즈 과일 플래터도 맛있음• 테이블 수시로 확인하시면서 말씀드리기 전에 알아서 얼음도 팝콘도 계속 새로 갈아주심• 테라스도 나가 쉬기 좋음• 선호하는 팀이 있다면 공연 스케줄 확인하고 방문해도 좋을 듯함• 내년 생일에 꼭 친구들이랑 놀러가야지• (여자)화장실까지 이쁘고 깨끗함,,가격 개 사악하네. 밑에 손님더러 오지말란거 실화임? ㅋㅋ 미친...근데 어쨌길래 영구 뻰찌를?,여심저격남자들은 안좋아함,다음에 직원이  실수할 때 책임 좀 챙기면 좋겠습니다.짜증나고 기분이 진짜 나빠서 울고 싶음. ㅠㅠ,서울에 이렇게 생생한 재즈공연을 즐길 수 있는 곳이 있다니. 퀄리티가 다릅니다. 흥하시길,,공연 퀄리티가 다른 재즈바나 공연을 하는 바 들에 비해 월등하다..!근데 술이 청담값인건 이해 하는데 공연비가 따로 붙긴 하다^^; 공연 값을 생각하면 아쉽지는 않다만...,,풀어집니다...,좋은데 화장실 드럽고 초파리날림","['음식점', '술집']","['37.5247331361025', '127.041603564474']"
2000,615124608,부기우기,16,1117066000,서울특별시,용산구,이태원2동,83.0,음식점>술집,술집,C,음식점,N,N,음식점,술집,,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""17:00 ~ 02:00"",""dayOfWeek"":""매일"",""timeEtc"":null}]}]","[5, 5, 4, 3, 5, 4, 5, 4, 5, 5, 1, 5, 5, 2, 4]","음식도 괜찮고 음악도 좋고, 입문하기 여러모로 좋아요. 사람이 되게 많았다는 점!,,예약은 문자로, 술+메인음식 세트메뉴 주문 필수, 별개로 만원 이상의 공연비 이체가 필요합니다. 자리 배치는 아쉽지만 공연이 좋아소 또 방문할꺼다,,재즈바 입문하기 너무 좋아요🥹🩷,라이브 공연 재밌게 잘 봤습니다생각보다 안주도 칵테일도 맛있어서 더 기분좋은 방문이었습니다,분위기 죽임..,,데이트코스 칵테일,젊은 아티스트들의 연주, 넘 좋아요~부기우기 IPA 맥주와 감자튀김, 맛있어요 ~,만동이랑 누구지? 까먹었는데 팀 악기 세션은 다 좋은데 보컬하는 사람이 준비 하나도 안 하고 무슨 만두 동아리 같은 이상한 드립이나 삼절 뇌절하네요..? 공연비 내기 너무 아까웠어요.. 보컬만 빼면 괜찮은데 돈 받고 하는 거면 준비 좀 해서 왔으면 좋겠어요. 팀원들 지인들이 뒤에서 환호 해줘서 다행이지 다른 분들 분위기 싸한 건 안 보이시나봐요? 두당 만 원 공연비가 비싼 건 아니지만 그래도 남의 돈에 대한 책임은 지셔야죠,오래오래 자리를 지켜주세요❤️,히히,공연하는사람 지각하고 공연중에 핸드폰 계속 보고 심지어 같이 공연하는 사람 이름도 몰라서 소개할때 버벅거리고 너무 별로였어요.가게 자체도 구조가 안좋아서 앞자리 아니면 굳이 갈 필요 없을듯. 음향도 너무 안좋아요. 찢어지는 소리 계속나서 가게 직원분도 인상 찌푸리시던데!,인스타로만 보다 직접 방문했는데 즐겁게 관람하다 왔어요ㅎ 맨 앞줄이라 상관없었지만 직사각형 내부라 뒤쪽에 앉았으면 잘 안보였을 것 같긴 하네요ㅎ 좋은 공연 있으면 또 방문하겠습니다","['음식점', '술집']","['37.5392100317962', '126.989006461325']"
2001,967601703,소공소공,140,1114052000,서울특별시,중구,소공동,83.0,음식점>술집,술집,C,음식점,N,N,음식점,술집,,,,"[{""periodName"":""영업기간"",""periodEtc"":null,""timeList"":[{""timeName"":""영업시간"",""timeSE"":""17:00 ~ 24:00"",""dayOfWeek"":""월~토"",""timeEtc"":null}]}]","[3, 5, 5, 2, 4, 4, 4, 5, 3, 5, 5, 5, 5, 5]","파스타랑 감자, 고구마튀김이 맛있어요! 튀김류 강추튀김수육은 고기가 좀 두꺼운 거 같아요 ㅜㅜ 수원에 튀김수육 진짜 잘하는 집이 있어서 계속 거기랑 비교가 돼가지구 ㅎ,,술집이라 양에 비해 가격이 싼 편은 아니에요예약은 거의 필수.. 웨이팅 엄청 오래해야돼요나 : 조금 배거팟음,음식 다 맛있어요특히 튀김수육 최고~,,내 입맛엔 너무 달았던 크림맛..,주변에 이런 분위기 식당이 없어서 희소성은 있음맛은 평범,,다양한 메뉴와 거품 없는 가격,모든 메뉴가 다 넘 맛있어용 ㅎㅎ 다른데에선 찾기 힘든 메뉴들이 많아서 좋아요! 분위기도 짱 사장님이 신메뉴 연구를 많이 하시는거같아용돈 많이버세여 !!,친절하시고 분위기도 좋은데음식점이라면 그저그렇고 술집이라면 맛있어요,친구들이랑 모여서 와인한잔하기 딱이에요!!!안주도 맛있고 분위기 좋네요,직원들이 젊어서 그런지 분위기도 좋고 맛있네요8명 단체로 예약잡고 갔는데 잘 놀았습니다,북창동에 이런 분위기의 술집이라니 은혜롭다.,친구들과  모임 장소로 완전 좋아요!직원 분 들도 친절하시고 맛있게 먹고 갑니당!,근처 회사에서 7년차 다니는 직장인입니다. 정말 인정합니다. 이 근처에 이만한 집 없네요.","['음식점', '술집']","['37.5635895556731', '126.978263823137']"
2002,1856076633,맥주아비,44,1141069000,서울특별시,서대문구,남가좌1동,83.0,음식점>술집,술집,C,음식점,N,N,음식점,술집,,,,,[5],차돌해물떡볶이랑 치킨 진짜 맛나요! 특히 하이볼이 진짜 목넘김과 부드러움이 넘 좋네요 레몬생즙쓴다고 하시더라구요 루프탑이라 분위기도 좋고 강추합니당♥차돌해물떡볶이 사진인데 먹다가 맛있어서 찍어갖고 조금안예쁘네요 꼭 드셔보세요~,"['음식점', '술집']","['37.57075584439626', '126.91687753994837']"
